Participant Public ID,p_or_r,ena.rm,e1_H,e1_L,e1_T,e1_X,e2_H,e2_L,e2_X,e3_H,e3_L,e3_T,e3_X,e4_H,e4_T,e4_X,e5_H,e5_L,e5_R,e5_X,e1_R,e2_R,e2_T,e3_R,e4_L,e4_R,e5_T,eNA_NA,eNA_L,e1_TL,e2_TL,e3_TL,e4_TL,e5_TL
BLIND,P,TRUE,343.7999999988824,1236.5999999996277,343,471.4000000003726,343.19999999925494,246.2000000001863,502.15000000037253,342.59999999962747,1293,2147.2000000011176,328.1000000005588,337.84999999962747,346.6000000014901,361.5,342.09999999962747,1240.0999999996277,1097.1499999994412,341.2999999988824,0,0,0,0,0,0,0,0,0,892.8000000007453,-96.99999999906865,950.4000000003725,-337.84999999962747,898.0000000000002
BLIND,R,TRUE,339.45000000018626,351.80000000074506,359.29999999981374,392.7000000011176,349.69999999925494,350.30000000074506,644.0499999998137,330.59999999962747,352.70000000018626,357.2999999988824,729.4500000001863,327.59999999962747,366.5,707.0999999996275,335.70000000018626,387.84999999962747,286.95000000018626,724,270.80000000074506,302.19999999925494,364.70000000018626,294.15000000037253,340.90000000037253,301.09999999962747,380.29999999981374,0,0,12.350000000558794,0.6000000014901161,22.100000000558794,13.300000000745058,52.14999999944121
crar9,P,TRUE,379.2999999523163,0,0,399.59999990463257,348.40000009536743,0,422.2999999523163,345,0,0,419.5,338,0,393.7000000476837,355.14999997615814,0,0,489.09999990463257,0,0,0,0,0,0,0,0,0,-379.2999999523163,-348.40000009536743,-345,-338,-355.14999997615814
crar9,R,TRUE,332.7999999523163,386.09999990463257,388,373.75,338.09999990463257,368.89999985694885,620.2000000476837,315.10000014305115,381.10000002384186,387.0500000715256,635.9000000953674,311.2000000476837,385.3000000715256,606.2000000476837,338,377,361.5,588,362.34999990463257,370.75,378.90000009536743,360.5000001192093,363.7999999523163,392.09999990463257,409.2999999523163,0,0,53.299999952316284,30.799999952316284,65.99999988079071,52.59999990463257,39
exdq7,P,TRUE,355.89999997615814,0,0,286.90000009536743,345.90000009536743,0,292.80000019073486,336.90000009536743,0,0,278.19999980926514,339.90000009536743,0,260.7000000476837,330.1999999284744,0,0,268.40000009536743,0,0,0,0,0,0,0,0,0,-355.89999997615814,-345.90000009536743,-336.90000009536743,-339.90000009536743,-330.1999999284744
exdq7,R,TRUE,349.2000000476837,351.5,346.7500001192093,329.09999990463257,355.40000009536743,343.69999980926514,459.2000000476837,316.60000002384186,336.90000009536743,333.4499999284744,519.2000000476837,322,384.2499998807907,522.1000001430511,319.8000000715256,342.7000000476837,294.2999999523163,539,296,288.64999997615814,340.69999980926514,295,341.14999997615814,304.2999999523163,368.59999990463257,0,0,2.299999952316284,-11.700000286102295,20.300000071525574,19.149999976158142,22.899999976158142
ezje7,P,TRUE,358.5,417.2999999523163,0,358.89999985694885,317.89999997615814,0,291.0499999523163,333.7999999523163,0,0,305.4500000476837,320.40000009536743,0,261,302.2999999523163,0,0,287.59999990463257,0,0,0,0,0,0,0,0,0,58.799999952316284,-317.89999997615814,-333.7999999523163,-320.40000009536743,-302.2999999523163
ezje7,R,TRUE,376,352.2000000476837,327.7999999523163,371.4500000476837,362,321.25,517.8999998569489,328.6999999284744,328,351.0500000715256,599.2000000476837,330.5500000715256,370,484.09999990463257,290.2000000476837,307.39999997615814,273.3000000715256,467.7999999523163,297.90000009536743,320.09999990463257,394.39999997615814,284.10000014305115,343.1999999284744,308.34999990463257,316.0499999523163,0,0,-23.799999952316284,-40.75,-0.6999999284744263,12.649999856948853,17.199999928474426
finc3,P,TRUE,414.699999988079,0,0,390.29999999701977,404,0,389,388.8500000014901,0,0,380.79999999701977,408.3999999910593,0,372.800000011921,413.3999999910593,0,0,397.19999999552965,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.8500000014901,-408.3999999910593,-413.3999999910593
finc3,R,TRUE,412.6000000089407,415.3999999910593,415.5000000074506,434.29999999701977,407.20000000298023,403.6000000089407,724.9000000059605,374.1499999985099,390.09999999403954,403.30000000447035,645.3999999910593,395.05000000447035,434.70000000298023,835.3999999910593,403.70000000298023,422.2500000074506,401.5,764.2000000029802,375.3999999910593,384.09999999403954,408.29999999701977,372,414.5,387.29999999701977,443.29999999701977,0,0,2.7999999821186066,-3.5999999940395355,15.949999995529652,19.44999999552965,18.55000000447035
fqrf6,P,TRUE,324,1215,278,274,315,0,269,300.5,0,0,306,319,0,304,308,0,0,265,1487,0,0,0,0,0,0,0,0,891,-315,-300.5,-319,-308
fqrf6,R,TRUE,310,337,358,345,311,345,687,322,323,352.5,552.5,300.5,366.5,565,314.5,320.5,319,496,307,313,347,327.5,319,304,352,0,0,27,34,1,18.5,6
