Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79
﻿1,1708881047000,"25/02/2024, 17:10:47",1708881046872,1,"25/02/2024, 18:10:46",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
2,1708881105733,"25/02/2024, 17:11:45",1708881105639,1,"25/02/2024, 18:11:45",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
3,1708881106223,"25/02/2024, 17:11:46",1708881106123,1,"25/02/2024, 18:11:46",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
4,1708881107562,"25/02/2024, 17:11:47",1708881107461,1,"25/02/2024, 18:11:47",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
5,1708881108323,"25/02/2024, 17:11:48",1708881108240,1,"25/02/2024, 18:11:48",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
6,1708881110348,"25/02/2024, 17:11:50",1708881110277,1,"25/02/2024, 18:11:50",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
7,1708881111177,"25/02/2024, 17:11:51",1708881111073,1,"25/02/2024, 18:11:51",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
8,1708881111921,"25/02/2024, 17:11:51",1708881111846,1,"25/02/2024, 18:11:51",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
9,1708881112737,"25/02/2024, 17:11:52",1708881112640,1,"25/02/2024, 18:11:52",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
10,1708881113332,"25/02/2024, 17:11:53",1708881113244,1,"25/02/2024, 18:11:53",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
